source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[file uri]	factor value[organism part]
Sample 193	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	7	not available	run 7	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	7	S7_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 194	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	8	not available	run 8	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	8	S8_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 195	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	9	not available	run 9	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	9	S9_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 196	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	10	not available	run 10	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	10	S10_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 197	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	11	not available	run 11	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	11	S11_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 198	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	12	not available	run 12	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	12	S12_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 199	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	13	not available	run 13	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	13	S13_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 200	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	14	not available	run 14	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	14	S14_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 201	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	15	not available	run 15	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	15	S15_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 202	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	16	not available	run 16	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	16	S16_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 203	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	17	not available	run 17	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	17	S17_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 204	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	18	not available	run 18	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	18	S18_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 205	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	19	not available	run 19	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	19	S19_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 206	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	20	not available	run 20	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	20	S20_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 207	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	21	not available	run 21	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	21	S21_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 208	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	22	not available	run 22	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	22	S22_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 209	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	23	not available	run 23	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	23	S23_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 210	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	24	not available	run 24	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	24	S24_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 211	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	25	not available	run 25	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	25	S25_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 212	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	26	not available	run 26	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	26	S26_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 213	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	27	not available	run 27	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	27	S27_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 214	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	28	not available	run 28	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	28	S28_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 215	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	29	not available	run 29	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	29	S29_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 216	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	30	not available	run 30	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	30	S30_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 217	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	31	not available	run 31	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	31	S31_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 218	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	32	not available	run 32	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	32	S32_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 219	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	33	not available	run 33	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	33	S33_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 220	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	34	not available	run 34	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	34	S34_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 221	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	35	not available	run 35	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	35	S35_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 222	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	36	not available	run 36	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	36	S36_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 223	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	37	not available	run 37	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	37	S37_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 224	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	38	not available	run 38	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	38	S38_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 225	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	39	not available	run 39	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	39	S39_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 226	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	40	not available	run 40	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	40	S40_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 227	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	41	not available	run 41	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	41	S41_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 228	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	42	not available	run 42	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	42	S42_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 229	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	43	not available	run 43	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	43	S43_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 230	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	44	not available	run 44	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	44	S44_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 231	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	45	not available	run 45	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	45	S45_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 232	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	46	not available	run 46	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	46	S46_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 233	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	47	not available	run 47	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	47	S47_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
Sample 234	NT=Homo sapiens;AC=NCBITaxon:9606	cervix tissue	HeLa	cervical cancer	cervical carcinoma cell line	adult	31	female	single cell	48	not available	run 48	SCP using cellenONE and mass spectrometry analysis	Data-independent acquisition	Bruker Daltonics timsTOF series	NT=label free sample;AC=MS:1002038	NT=Trypsin; NT=Lys-C/P	NT=Carbamidomethyl; AC=UNIMOD:4; MT=Fixed; PP=Protein C-term; TA=C	None	None	10 ppm	10 ppm	1	48	S48_LF48_oilfree_direct	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	None	cervix
