source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Bsf3-F10-11	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	11	Bsf3-F10-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf3-F10-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F10-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S1F01	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S1F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S1F01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S1F01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-F14	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	14	1	Prot-BSF-F14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	Bsf-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F4-5b	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F4-5b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F4-5b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F4-5b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S3F02	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S3F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S3F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-MU-F10-11	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	11	Silac-MU-F10-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-MU-F10-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F10-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU-Pcf-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	MU-Pcf-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU-Pcf-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F3b	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F3b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F3b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F3b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-F12	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	12	1	Prot-BSF-F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S1F08	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S1F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S1F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S1F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2202S1F06	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2202S1F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2202S1F06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2202S1F06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S1F02	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S1F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S1F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S1F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2202S1F01	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2202S1F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2202S1F01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2202S1F01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
2-Bsf-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	2-Bsf-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	2-Bsf-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/2-Bsf-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S2F03	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S2F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S2F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-H	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-BSF-H.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-F3-7	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	7	Prot-2Bsf-F3-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-2Bsf-F3-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-F3-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	Prot-BSF-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-BSF-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU-Pcf-F10-11	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	11	MU-Pcf-F10-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU-Pcf-F10-11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F10-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf-F14-15	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	15	Bsf-F14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf-F14-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf-F14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
2-Bsf-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	2-Bsf-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	2-Bsf-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/2-Bsf-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S3F07	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S3F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S3F07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU-Pcf-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	MU-Pcf-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU-Pcf-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-C	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-BSF-C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-F11	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	11	1	Prot-BSF-F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F4-5a	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F4-5a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F4-5a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F4-5a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-F10	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	10	1	Prot-BSF-F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU-Pcf-F3	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	MU-Pcf-F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	3	1	MU-Pcf-F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F12-13a	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F12-13a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F12-13a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F12-13a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
