source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[bait]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[collision energy]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[bait]	factor value[organism]
JB42-13	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	RaTG13_Orf8	cell	1	qx029328	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029328.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Orf8	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-14	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	RaTG13_Orf8	cell	2	qx029329	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029329.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Orf8	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-15	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	RaTG13_Orf8	cell	3	qx029330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029330.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Orf8	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-19	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	SARS-CoV-2_Orf8_WT	cell	1	qx029336	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029336.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2_Orf8_WT	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-20	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	SARS-CoV-2_Orf8_WT	cell	2	qx029337	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029337.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2_Orf8_WT	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-21	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	SARS-CoV-2_Orf8_WT	cell	3	qx029338	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029338.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SARS-CoV-2_Orf8_WT	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-28	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	Vector	cell	4	qx029348	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029348.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-29	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	Vector	cell	5	qx029349	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029349.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-30	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	Vector	cell	6	qx029350	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029350.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Vector	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-31	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	GFP	cell	4	qx029352	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029352.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-32	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	GFP	cell	5	qx029353	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029353.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB42-33	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479	not available	not available	normal	not available	not available	not available	GFP	cell	6	qx029354	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029354.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	GFP	NT=Rhinolophus ferrumequinum;AC=NCBITaxon:59479
JB41-01	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp1	cell	1	qx029358	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029358.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp1	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-02	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp1	cell	2	qx029359	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029359.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp1	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-03	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp1	cell	3	qx029360	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029360.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp1	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-04	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp2	cell	1	qx029362	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029362.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp2	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-05	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp2	cell	2	qx029363	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029363.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp2	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-06	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp2	cell	3	qx029364	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029364.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp2	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-07	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp4	cell	1	qx029366	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029366.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp4	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-08	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp4	cell	2	qx029367	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029367.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp4	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-09	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp4	cell	3	qx029368	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029368.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp4	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-10	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp5	cell	1	qx029370	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029370.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp5	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-11	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp5	cell	2	qx029371	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029371.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp5	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-12	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp5	cell	3	qx029372	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029372.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp5	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-13	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp6	cell	1	qx029374	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029374.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp6	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-14	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp6	cell	2	qx029375	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029375.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp6	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-15	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp6	cell	3	qx029376	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029376.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp6	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-16	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp12	cell	1	qx029378	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029378.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp12	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-17	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp12	cell	2	qx029379	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029379.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp12	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-18	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp12	cell	3	qx029380	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029380.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp12	NT=Homo sapiens;AC=NCBITaxon:9606
JB41-19	NT=Homo sapiens;AC=NCBITaxon:9606	NT=kidney;AC=UBERON:0002113	NT=HEK293T;AC=CVCL_0063	normal	not available	not available	not available	RaTG13_Nsp13	cell	1	qx029382	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	26 NCE	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	not available	not available	1	1	qx029382.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RaTG13_Nsp13	NT=Homo sapiens;AC=NCBITaxon:9606
